Curve	b0	A	umax	L	z	umax.lw	umax.up	umax.lw.FI	umax.up.FI	isolate	treatment	rep
E3	0.0898	1.4698	0.0027	504.1153	-3.4895	0.0026	0.0029	0.0027	0.0028	18	Rpf+	4
E4	0.0484	0.4747	3.00E-04	2140.0859	-4.0897	NA	NA	3.00E-04	3.00E-04	16	Rpf-	2
E5	-1.1753	2.6835	0.0011	-980.5594	-2.5446	NA	NA	0.001	0.0011	13	Rpf+	3
E6	0.0966	1.2523	0.0026	510.9368	-3.4327	0.0025	0.0028	0.0025	0.0027	18	Rpf-	2
E7	0.0968	1.2485	0.0026	515.701	-3.4177	0.0025	0.0027	0.0025	0.0027	18	Rpf-	3
E8	0.0553	0.9047	0.0021	409.1952	-4.8603	0.0021	0.0022	0.0021	0.0022	17	Rpf-	1
F1	-0.1095	-1.0021	1.00E-04	8.1931	-2.4137	NA	NA	1.00E-04	1.00E-04	14	Rpf-	4
F2	0.0056	1.3026	0.0012	284.1462	-3.0724	0.0012	0.0013	0.0012	0.0013	13	Rpf-	4
F3	0.0563	0.9068	0.0021	397.9791	-4.821	0.0021	0.0022	0.0021	0.0022	17	Rpf-	2
F4	-0.0503	-0.8277	1.00E-04	0.0641	-3.4911	NA	NA	1.00E-04	1.00E-04	14	Rpf-	3
F5	0.0474	0.7476	2.00E-04	1789.4466	-4.4851	NA	NA	2.00E-04	2.00E-04	16	Rpf+	3
F6	0.1014	0.598	8.00E-04	611.9854	-4.363	8.00E-04	9.00E-04	8.00E-04	8.00E-04	15	Rpf-	2
F7	0.0148	1.2931	0.0013	311.1473	-3.0796	0.0012	0.0013	0.0013	0.0013	13	Rpf-	3
F8	0.056	0.6328	0.001	1061.7233	-4.4211	0.001	0.001	0.001	0.001	15	Rpf+	3
